,Validation_Set,topics,alpha,beta,coherence
0,75% Corpus,2,0.01,0.01,0.7982446258880076
1,75% Corpus,2,0.01,0.31,0.8060728156178959
2,75% Corpus,2,0.01,0.61,0.8064164700174045
3,75% Corpus,2,0.01,0.9099999999999999,0.8061350885609047
4,75% Corpus,2,0.01,symmetric,0.8053309918885463
5,75% Corpus,2,0.31,0.01,0.7979050176666512
6,75% Corpus,2,0.31,0.31,0.8061884040347562
7,75% Corpus,2,0.31,0.61,0.8065029008430034
8,75% Corpus,2,0.31,0.9099999999999999,0.8062040423397008
9,75% Corpus,2,0.31,symmetric,0.8059264657535568
10,75% Corpus,2,0.61,0.01,0.7979975889310991
11,75% Corpus,2,0.61,0.31,0.8060027881452696
12,75% Corpus,2,0.61,0.61,0.8063843009798493
13,75% Corpus,2,0.61,0.9099999999999999,0.8061903110946452
14,75% Corpus,2,0.61,symmetric,0.8068627969789004
15,75% Corpus,2,0.9099999999999999,0.01,0.7974129228305071
16,75% Corpus,2,0.9099999999999999,0.31,0.8063338383466612
17,75% Corpus,2,0.9099999999999999,0.61,0.8004977948013787
18,75% Corpus,2,0.9099999999999999,0.9099999999999999,0.8079662409974246
19,75% Corpus,2,0.9099999999999999,symmetric,0.8061179678451162
20,75% Corpus,2,symmetric,0.01,0.7951553424409674
21,75% Corpus,2,symmetric,0.31,0.8048405519883759
22,75% Corpus,2,symmetric,0.61,0.8056547885681709
23,75% Corpus,2,symmetric,0.9099999999999999,0.8055640925564693
24,75% Corpus,2,symmetric,symmetric,0.8068140744349612
25,75% Corpus,2,asymmetric,0.01,0.7756562626612931
26,75% Corpus,2,asymmetric,0.31,0.7977098051010874
27,75% Corpus,2,asymmetric,0.61,0.8020235105061786
28,75% Corpus,2,asymmetric,0.9099999999999999,0.8032434647672384
29,75% Corpus,2,asymmetric,symmetric,0.7970846479999587
30,75% Corpus,3,0.01,0.01,0.7922589206352014
31,75% Corpus,3,0.01,0.31,0.796497426740708
32,75% Corpus,3,0.01,0.61,0.802450617236747
33,75% Corpus,3,0.01,0.9099999999999999,0.8014369218336531
34,75% Corpus,3,0.01,symmetric,0.796159074193576
35,75% Corpus,3,0.31,0.01,0.7948637769543415
36,75% Corpus,3,0.31,0.31,0.8012128724747853
37,75% Corpus,3,0.31,0.61,0.8014478942529099
38,75% Corpus,3,0.31,0.9099999999999999,0.796076460565117
39,75% Corpus,3,0.31,symmetric,0.795647499957768
40,75% Corpus,3,0.61,0.01,0.7924208448066171
41,75% Corpus,3,0.61,0.31,0.795989760707578
42,75% Corpus,3,0.61,0.61,0.7960972631459503
43,75% Corpus,3,0.61,0.9099999999999999,0.7974925166204904
44,75% Corpus,3,0.61,symmetric,0.7967109745185633
45,75% Corpus,3,0.9099999999999999,0.01,0.7924578413853843
46,75% Corpus,3,0.9099999999999999,0.31,0.7927273720814071
47,75% Corpus,3,0.9099999999999999,0.61,0.7925389716434119
48,75% Corpus,3,0.9099999999999999,0.9099999999999999,0.7923039077973034
49,75% Corpus,3,0.9099999999999999,symmetric,0.7924984970542773
50,75% Corpus,3,symmetric,0.01,0.7915812630035926
51,75% Corpus,3,symmetric,0.31,0.8012057761865895
52,75% Corpus,3,symmetric,0.61,0.7999402524958871
53,75% Corpus,3,symmetric,0.9099999999999999,0.8015893733612427
54,75% Corpus,3,symmetric,symmetric,0.7945295914962429
55,75% Corpus,3,asymmetric,0.01,0.6008951892725862
56,75% Corpus,3,asymmetric,0.31,0.7936330891595653
57,75% Corpus,3,asymmetric,0.61,0.795337138734494
58,75% Corpus,3,asymmetric,0.9099999999999999,0.7987140310210208
59,75% Corpus,3,asymmetric,symmetric,0.795812676770435
60,75% Corpus,4,0.01,0.01,0.7847563881772255
61,75% Corpus,4,0.01,0.31,0.7888822556334463
62,75% Corpus,4,0.01,0.61,0.7865943013897863
63,75% Corpus,4,0.01,0.9099999999999999,0.7909020067122222
64,75% Corpus,4,0.01,symmetric,0.7890718930603192
65,75% Corpus,4,0.31,0.01,0.7718442006823978
66,75% Corpus,4,0.31,0.31,0.7887969052755562
67,75% Corpus,4,0.31,0.61,0.7887154940521555
68,75% Corpus,4,0.31,0.9099999999999999,0.7891392080231063
69,75% Corpus,4,0.31,symmetric,0.7903725558983838
70,75% Corpus,4,0.61,0.01,0.7648465577583454
71,75% Corpus,4,0.61,0.31,0.792727898312301
72,75% Corpus,4,0.61,0.61,0.7918593871060683
73,75% Corpus,4,0.61,0.9099999999999999,0.7912634455239346
74,75% Corpus,4,0.61,symmetric,0.7889370585318871
75,75% Corpus,4,0.9099999999999999,0.01,0.7853795358650804
76,75% Corpus,4,0.9099999999999999,0.31,0.7894999505884083
77,75% Corpus,4,0.9099999999999999,0.61,0.7898918016440252
78,75% Corpus,4,0.9099999999999999,0.9099999999999999,0.7886895615076629
79,75% Corpus,4,0.9099999999999999,symmetric,0.7869997914792455
80,75% Corpus,4,symmetric,0.01,0.7844435931639547
81,75% Corpus,4,symmetric,0.31,0.7903102621221281
82,75% Corpus,4,symmetric,0.61,0.7920600655178698
83,75% Corpus,4,symmetric,0.9099999999999999,0.7895388785957367
84,75% Corpus,4,symmetric,symmetric,0.7901078653727914
85,75% Corpus,4,asymmetric,0.01,0.5724972733577899
86,75% Corpus,4,asymmetric,0.31,0.7896596774788702
87,75% Corpus,4,asymmetric,0.61,0.7918448685423736
88,75% Corpus,4,asymmetric,0.9099999999999999,0.7869107163034996
89,75% Corpus,4,asymmetric,symmetric,0.7876460551017964
90,75% Corpus,5,0.01,0.01,0.7567412414144576
91,75% Corpus,5,0.01,0.31,0.7860161666626165
92,75% Corpus,5,0.01,0.61,0.7866219060687725
93,75% Corpus,5,0.01,0.9099999999999999,0.7860856268635857
94,75% Corpus,5,0.01,symmetric,0.7876230496428503
95,75% Corpus,5,0.31,0.01,0.7593710016563916
96,75% Corpus,5,0.31,0.31,0.7866660320306501
97,75% Corpus,5,0.31,0.61,0.7887548605309328
98,75% Corpus,5,0.31,0.9099999999999999,0.7899685527176568
99,75% Corpus,5,0.31,symmetric,0.7894106753071515
100,75% Corpus,5,0.61,0.01,0.7133819543036546
101,75% Corpus,5,0.61,0.31,0.7839795660051729
102,75% Corpus,5,0.61,0.61,0.7852905070951677
103,75% Corpus,5,0.61,0.9099999999999999,0.7861765924908524
104,75% Corpus,5,0.61,symmetric,0.791784917268582
105,75% Corpus,5,0.9099999999999999,0.01,0.7744147949817264
106,75% Corpus,5,0.9099999999999999,0.31,0.7884382641187331
107,75% Corpus,5,0.9099999999999999,0.61,0.7874413081537189
108,75% Corpus,5,0.9099999999999999,0.9099999999999999,0.7847360875401717
109,75% Corpus,5,0.9099999999999999,symmetric,0.7844512703653324
110,75% Corpus,5,symmetric,0.01,0.7716642652640056
111,75% Corpus,5,symmetric,0.31,0.7872313616274361
112,75% Corpus,5,symmetric,0.61,0.7863327428321079
113,75% Corpus,5,symmetric,0.9099999999999999,0.7868733580585578
114,75% Corpus,5,symmetric,symmetric,0.7861458919529148
115,75% Corpus,5,asymmetric,0.01,0.5162760212336581
116,75% Corpus,5,asymmetric,0.31,0.7867684571477437
117,75% Corpus,5,asymmetric,0.61,0.7834968586077891
118,75% Corpus,5,asymmetric,0.9099999999999999,0.7849677812154064
119,75% Corpus,5,asymmetric,symmetric,0.7826511147811489
120,75% Corpus,6,0.01,0.01,0.7401770296441249
121,75% Corpus,6,0.01,0.31,0.7824426061610992
122,75% Corpus,6,0.01,0.61,0.785129089104572
123,75% Corpus,6,0.01,0.9099999999999999,0.7833947456735914
124,75% Corpus,6,0.01,symmetric,0.7652460578347157
125,75% Corpus,6,0.31,0.01,0.7228300917914959
126,75% Corpus,6,0.31,0.31,0.7850480025959281
127,75% Corpus,6,0.31,0.61,0.7830005561396601
128,75% Corpus,6,0.31,0.9099999999999999,0.784880219451443
129,75% Corpus,6,0.31,symmetric,0.7869756989588126
130,75% Corpus,6,0.61,0.01,0.7673134538596648
131,75% Corpus,6,0.61,0.31,0.7827200099243777
132,75% Corpus,6,0.61,0.61,0.7862089023302542
133,75% Corpus,6,0.61,0.9099999999999999,0.7830155698701646
134,75% Corpus,6,0.61,symmetric,0.7848734091955524
135,75% Corpus,6,0.9099999999999999,0.01,0.7522517661373156
136,75% Corpus,6,0.9099999999999999,0.31,0.7866021644090405
137,75% Corpus,6,0.9099999999999999,0.61,0.7835687753355075
138,75% Corpus,6,0.9099999999999999,0.9099999999999999,0.7829356699410063
139,75% Corpus,6,0.9099999999999999,symmetric,0.7835710404647473
140,75% Corpus,6,symmetric,0.01,0.7669290738357185
141,75% Corpus,6,symmetric,0.31,0.7817538636259252
142,75% Corpus,6,symmetric,0.61,0.7824608021820286
143,75% Corpus,6,symmetric,0.9099999999999999,0.7830341082248395
144,75% Corpus,6,symmetric,symmetric,0.7824312809452171
145,75% Corpus,6,asymmetric,0.01,0.49618110216156835
146,75% Corpus,6,asymmetric,0.31,0.7839550001781808
147,75% Corpus,6,asymmetric,0.61,0.7824841475222842
148,75% Corpus,6,asymmetric,0.9099999999999999,0.7831238628706826
149,75% Corpus,6,asymmetric,symmetric,0.7634210527497786
150,75% Corpus,7,0.01,0.01,0.7399069553120706
151,75% Corpus,7,0.01,0.31,0.7851606052894345
152,75% Corpus,7,0.01,0.61,0.7813962413322101
153,75% Corpus,7,0.01,0.9099999999999999,0.7836082624879727
154,75% Corpus,7,0.01,symmetric,0.7516624187973396
155,75% Corpus,7,0.31,0.01,0.7198696128841363
156,75% Corpus,7,0.31,0.31,0.7825882587893372
157,75% Corpus,7,0.31,0.61,0.7817287574112101
158,75% Corpus,7,0.31,0.9099999999999999,0.7831058623620518
159,75% Corpus,7,0.31,symmetric,0.7866164997251957
160,75% Corpus,7,0.61,0.01,0.7492029022613599
161,75% Corpus,7,0.61,0.31,0.7827666316114529
162,75% Corpus,7,0.61,0.61,0.7838640057877394
163,75% Corpus,7,0.61,0.9099999999999999,0.7839472537013039
164,75% Corpus,7,0.61,symmetric,0.7843087329859166
165,75% Corpus,7,0.9099999999999999,0.01,0.721125302131919
166,75% Corpus,7,0.9099999999999999,0.31,0.7826697079711936
167,75% Corpus,7,0.9099999999999999,0.61,0.7831807574019284
168,75% Corpus,7,0.9099999999999999,0.9099999999999999,0.7823574502904007
169,75% Corpus,7,0.9099999999999999,symmetric,0.7867959388287196
170,75% Corpus,7,symmetric,0.01,0.6918394776668235
171,75% Corpus,7,symmetric,0.31,0.7849068969960059
172,75% Corpus,7,symmetric,0.61,0.7815845271137283
173,75% Corpus,7,symmetric,0.9099999999999999,0.7820295700204207
174,75% Corpus,7,symmetric,symmetric,0.7884183456622604
175,75% Corpus,7,asymmetric,0.01,0.4889849818146335
176,75% Corpus,7,asymmetric,0.31,0.7792160239159268
177,75% Corpus,7,asymmetric,0.61,0.7773245000412927
178,75% Corpus,7,asymmetric,0.9099999999999999,0.7760688180904004
179,75% Corpus,7,asymmetric,symmetric,0.7119010399526438
180,75% Corpus,8,0.01,0.01,0.694321017258233
181,75% Corpus,8,0.01,0.31,0.7854248141779904
182,75% Corpus,8,0.01,0.61,0.7831047491189779
183,75% Corpus,8,0.01,0.9099999999999999,0.7791765058721365
184,75% Corpus,8,0.01,symmetric,0.7156172984634832
185,75% Corpus,8,0.31,0.01,0.7150744275614354
186,75% Corpus,8,0.31,0.31,0.7854377637268661
187,75% Corpus,8,0.31,0.61,0.7798916757902127
188,75% Corpus,8,0.31,0.9099999999999999,0.78083174128639
189,75% Corpus,8,0.31,symmetric,0.7827409060899653
190,75% Corpus,8,0.61,0.01,0.7011378132141899
191,75% Corpus,8,0.61,0.31,0.7797641464214735
192,75% Corpus,8,0.61,0.61,0.7821276647280058
193,75% Corpus,8,0.61,0.9099999999999999,0.778608623448906
194,75% Corpus,8,0.61,symmetric,0.7803286251587179
195,75% Corpus,8,0.9099999999999999,0.01,0.7078224149821402
196,75% Corpus,8,0.9099999999999999,0.31,0.7818534008918421
197,75% Corpus,8,0.9099999999999999,0.61,0.7821758230864002
198,75% Corpus,8,0.9099999999999999,0.9099999999999999,0.7805484359166027
199,75% Corpus,8,0.9099999999999999,symmetric,0.7853390637322815
200,75% Corpus,8,symmetric,0.01,0.7391695310129286
201,75% Corpus,8,symmetric,0.31,0.7867445850022592
202,75% Corpus,8,symmetric,0.61,0.7795513170894842
203,75% Corpus,8,symmetric,0.9099999999999999,0.7851847323642809
204,75% Corpus,8,symmetric,symmetric,0.7838392908049872
205,75% Corpus,8,asymmetric,0.01,0.4675531713057636
206,75% Corpus,8,asymmetric,0.31,0.7791689298071196
207,75% Corpus,8,asymmetric,0.61,0.7787063671396712
208,75% Corpus,8,asymmetric,0.9099999999999999,0.7774789984827339
209,75% Corpus,8,asymmetric,symmetric,0.721200052941577
210,75% Corpus,9,0.01,0.01,0.7088496547190766
211,75% Corpus,9,0.01,0.31,0.7790484620211885
212,75% Corpus,9,0.01,0.61,0.7829728589861799
213,75% Corpus,9,0.01,0.9099999999999999,0.7828306259701097
214,75% Corpus,9,0.01,symmetric,0.6686629633866746
215,75% Corpus,9,0.31,0.01,0.6704688879457259
216,75% Corpus,9,0.31,0.31,0.7826263151691957
217,75% Corpus,9,0.31,0.61,0.7805675217646714
218,75% Corpus,9,0.31,0.9099999999999999,0.7792735664197192
219,75% Corpus,9,0.31,symmetric,0.780410648239217
220,75% Corpus,9,0.61,0.01,0.7158154063568142
221,75% Corpus,9,0.61,0.31,0.7775703541312727
222,75% Corpus,9,0.61,0.61,0.7781283679893082
223,75% Corpus,9,0.61,0.9099999999999999,0.775913465050359
224,75% Corpus,9,0.61,symmetric,0.7811440741714999
225,75% Corpus,9,0.9099999999999999,0.01,0.6973202512815185
226,75% Corpus,9,0.9099999999999999,0.31,0.7787911899086976
227,75% Corpus,9,0.9099999999999999,0.61,0.7775719046348273
228,75% Corpus,9,0.9099999999999999,0.9099999999999999,0.7806794375642527
229,75% Corpus,9,0.9099999999999999,symmetric,0.783599213557145
230,75% Corpus,9,symmetric,0.01,0.7061851455780725
231,75% Corpus,9,symmetric,0.31,0.7804349013701172
232,75% Corpus,9,symmetric,0.61,0.7822356419173744
233,75% Corpus,9,symmetric,0.9099999999999999,0.7769029649786171
234,75% Corpus,9,symmetric,symmetric,0.7731424422521415
235,75% Corpus,9,asymmetric,0.01,0.4564726734085202
236,75% Corpus,9,asymmetric,0.31,0.7737288241783159
237,75% Corpus,9,asymmetric,0.61,0.773190506838188
238,75% Corpus,9,asymmetric,0.9099999999999999,0.7660504565643572
239,75% Corpus,9,asymmetric,symmetric,0.7333972899100308
240,75% Corpus,10,0.01,0.01,0.6949267236559391
241,75% Corpus,10,0.01,0.31,0.7814722503428569
242,75% Corpus,10,0.01,0.61,0.7818086887512956
243,75% Corpus,10,0.01,0.9099999999999999,0.7801541923736217
244,75% Corpus,10,0.01,symmetric,0.6843361297763015
245,75% Corpus,10,0.31,0.01,0.6503681905505861
246,75% Corpus,10,0.31,0.31,0.7767270976190778
247,75% Corpus,10,0.31,0.61,0.7794156146472235
248,75% Corpus,10,0.31,0.9099999999999999,0.7831591825515838
249,75% Corpus,10,0.31,symmetric,0.7780276593188382
250,75% Corpus,10,0.61,0.01,0.7011570425967195
251,75% Corpus,10,0.61,0.31,0.7741513869362115
252,75% Corpus,10,0.61,0.61,0.7734383098966416
253,75% Corpus,10,0.61,0.9099999999999999,0.7745495845271411
254,75% Corpus,10,0.61,symmetric,0.779760823197102
255,75% Corpus,10,0.9099999999999999,0.01,0.6669093495404538
256,75% Corpus,10,0.9099999999999999,0.31,0.775755050937119
257,75% Corpus,10,0.9099999999999999,0.61,0.7777560071373865
258,75% Corpus,10,0.9099999999999999,0.9099999999999999,0.7769329657814105
259,75% Corpus,10,0.9099999999999999,symmetric,0.7795923621288188
260,75% Corpus,10,symmetric,0.01,0.6797893019525346
261,75% Corpus,10,symmetric,0.31,0.7784919746228263
262,75% Corpus,10,symmetric,0.61,0.7785818686266207
263,75% Corpus,10,symmetric,0.9099999999999999,0.7777947292326929
264,75% Corpus,10,symmetric,symmetric,0.7715709449392142
265,75% Corpus,10,asymmetric,0.01,0.46410248986724467
266,75% Corpus,10,asymmetric,0.31,0.7741287906811511
267,75% Corpus,10,asymmetric,0.61,0.7679930912942914
268,75% Corpus,10,asymmetric,0.9099999999999999,0.764417211911018
269,75% Corpus,10,asymmetric,symmetric,0.7479725896554336
270,100% Corpus,2,0.01,0.01,0.8032918023659801
271,100% Corpus,2,0.01,0.31,0.801876295345448
272,100% Corpus,2,0.01,0.61,0.802811280005403
